id,nome,categoria,observacoes,sdf_original,sdf_novo_path
768,AKC_tropicalmed8030141,SYNTHETIC,OK,747.sdf,sdfs/768.sdf
769,AKC_ap-2017-0070,DRUG,OK,748.sdf,sdfs/769.sdf
770,AKC_/j.ijantimicag.2018.12.011,SYNTHETIC,Estrutura Incerta,749.sdf,sdfs/770.sdf
771,AKC_AAC.01766-19,SYNTHETIC,Estrutura Incerta,750.sdf,sdfs/771.sdf
772,AKC_0103-5053.20230073,SYNTHETIC,OK,751.sdf,sdfs/772.sdf
773,AKC_j.bioorg.2023.106615,SYNTHETIC,OK,752.sdf,sdfs/773.sdf
774,AKC_07391102.2023.2212779,NATURAL,OK,753.sdf,sdfs/774.sdf
775,AKC_acs.jmedchem.3c00056,SYNTHETIC,OK,754.sdf,sdfs/775.sdf
776,AKC_j.exppara.2023.108555,SYNTHETIC,OK,755.sdf,sdfs/776.sdf
777,AKC_d3md00081h,SYNTHETIC,OK,756.sdf,sdfs/777.sdf
778,AKC_md21060333,NATURAL,OK,757.sdf,sdfs/778.sdf
779,AKC_j.ejmech.2023.115524,SYNTHETIC,Muito bom para screening,758.sdf,sdfs/779.sdf
780,AKC_rs.3.rs-2711791/v1,DRUG,OK,759.sdf,sdfs/780.sdf
781,AKC_cbdv.202300523,SYNTHETIC,OK,760.sdf,sdfs/781.sdf
782,AKC_07391102.2023.2224897,SYNTHETIC,Muito bom para screening,761_1.sdf,sdfs/782.sdf
783,AKC_07391102.2023.2224897,SYNTHETIC,Muito bom para screening,761_2.sdf,sdfs/783.sdf
784,AKC_j.heliyon.2023.e17801,SYNTHETIC,OK,762.sdf,sdfs/784.sdf
785,AKC_D3MD00243H,SYNTHETIC,E-majoritário,763.sdf,sdfs/785.sdf
786,AKC_j.intimp.2023.110750,SYNTHETIC,OK,764.sdf,sdfs/786.sdf
787,AKC_slct.202302415,SYNTHETIC,OK,765.sdf,sdfs/787.sdf
788,AKC_ph16081113,SYNTHETIC,Fazer screening,766.sdf,sdfs/788.sdf
789,AKC_j.algal.2023.103241,NATURAL,OK,767.sdf,sdfs/789.sdf
790,AKC_j.algal.2023.103241,NATURAL,,768.sdf,sdfs/790.sdf
791,AKC_j.algal.2023.103241,NATURAL,OK,769.sdf,sdfs/791.sdf
792,AKC_j.algal.2023.103241,NATURAL,OK,770.sdf,sdfs/792.sdf
793,AKC_d3md00220a,SYNTHETIC,URGENTE,771.sdf,sdfs/793.sdf
794,AKC_preprints202308.1856.v1,SYNTHETIC,OK,772.sdf,sdfs/794.sdf
795,AKC_ufu.di.2023.494,SYNTHETIC,TESE,773.sdf,sdfs/795.sdf
796,AKC_ufu.di.2023.494,SYNTHETIC,TESE,774.sdf,sdfs/796.sdf
797,AKC_pharmaceutics15092292,NATURAL,(-)-5-demethoxygrandisin B.,775.sdf,sdfs/797.sdf
798,AKC_journal.pone.0291321,DRUG,Azalacida,776.sdf,sdfs/798.sdf
799,AKC_journal.pntd.0011646,SYNTHETIC,Screening urgente,777.sdf,sdfs/799.sdf
800,AKC_acs.jmedchem.3c00697,SYNTHETIC,Screening urgente,778.sdf,sdfs/800.sdf
801,AKC_j.bioorg.2023.106890,SYNTHETIC,OK,779.sdf,sdfs/801.sdf
802,AKC_j.ejmech.2023.115863,SYNTHETIC,OK,781_1.sdf,sdfs/802.sdf
803,AKC_j.ejmech.2023.115863,SYNTHETIC,OK,781_2.sdf,sdfs/803.sdf
804,AKC_acsomega.3c05441,SYNTHETIC,Screening urgente,782.sdf,sdfs/804.sdf
805,AKC_20499361231208294,SYNTHETIC,OK,783.sdf,sdfs/805.sdf
806,AKC_preprints202308.1856.v1,SYNTHETIC,OK,784.sdf,sdfs/806.sdf
807,AKC_agronomy13112765,NATURAL,OK,785.sdf,sdfs/807.sdf
808,AKC_07391102.2023.2279279,SYNTHETIC,OK,786.sdf,sdfs/808.sdf
809,AKC_1809-4392202300281,NATURAL,OK,787.sdf,sdfs/809.sdf
810,AKC_s11030-022-10548-9,SYNTHETIC,Screening ugente,788_R.sdf,sdfs/810.sdf
811,AKC_s11030-022-10548-9,SYNTHETIC,Screening urgente,788_S.sdf,sdfs/811.sdf
812,AKC_mp100035f,NATURAL,OK,789.sdf,sdfs/812.sdf
813,AKC_ardp.202300440,SYNTHETIC,OK,790.sdf,sdfs/813.sdf
814,AKC_14786419.2023.2288232,SYNTHETIC,OK,791_rr.sdf,sdfs/814.sdf
815,AKC_14786419.2023.2288232,SYNTHETIC,OK,791_rs.sdf,sdfs/815.sdf
816,AKC_14786419.2023.2288232,SYNTHETIC,OK,791_sr.sdf,sdfs/816.sdf
817,AKC_14786419.2023.2288232,SYNTHETIC,OK,791_ss.sdf,sdfs/817.sdf
818,AKC_journal.pone.0292946,SYNTHETIC,Screening urgente,792.sdf,sdfs/818.sdf
819,AKC_s11696-023-03214-3,SYNTHETIC,OK,793.sdf,sdfs/819.sdf
820,AKC_s11686-023-00746-2,DRUG,OK,794.sdf,sdfs/820.sdf
821,AKC_s11686-023-00746-2,NATURAL,Screening urgente,795.sdf,sdfs/821.sdf
822,AKC_0074-02760170217,NATURAL,Screening urgente,796.sdf,sdfs/822.sdf
823,AKC_scitranslmed.adh9902,SYNTHETIC,OK,797.sdf,sdfs/823.sdf
824,AKC_molecules29010074,SYNTHETIC,Screening urgente,798.sdf,sdfs/824.sdf
825,AKC_preprints202312.1664.v1,SYNTHETIC,OK,799.sdf,sdfs/825.sdf
826,AKC_rs.3.rs-3731615/v1,SYNTHETIC,OK,800.sdf,sdfs/826.sdf
827,AKC_rs.3.rs-3731615/v1,SYNTHETIC,Screening urgente,801.sdf,sdfs/827.sdf
828,AKC_rs.3.rs-3731615/v1,SYNTHETIC,OK,802.sdf,sdfs/828.sdf
829,AKC_rs.3.rs-3731615/v1,SYNTHETIC,Screening urgente,803.sdf,sdfs/829.sdf
830,AKC_acs.jmedchem.3c01439,SYNTHETIC,OK,804.sdf,sdfs/830.sdf
831,AKC_ijms25010659,SYNTHETIC,OK,805.sdf,sdfs/831.sdf
832,AKC_1809-4392202203181C813,NATURAL,Screening urgente,806.sdf,sdfs/832.sdf
833,AKC_preprints202401.0661.v1,SYNTHETIC,poor,807.sdf,sdfs/833.sdf
834,AKC_j.ijantimicag.2024.107092,SYNTHETIC,Screening urgente,808.sdf,sdfs/834.sdf
835,AKC_j.ijantimicag.2024.107092,SYNTHETIC,Toxic,809.sdf,sdfs/835.sdf
836,AKC_pathogens13020104,SYNTHETIC,Screening urgente,810.sdf,sdfs/836.sdf
837,AKC_j.bmc.2013.04.063,SYNTHETIC,OK,811.sdf,sdfs/837.sdf
838,AKC_aac.02201-12,SYNTHETIC,OK,812.sdf,sdfs/838.sdf
839,AKC_j.bmcl.2014.03.065,SYNTHETIC,OK,813.sdf,sdfs/839.sdf
840,AKC_acs.jmedchem.5b00515,SYNTHETIC,Screening urgente,814.sdf,sdfs/840.sdf
841,AKC_s41598-017-00848-8,SYNTHETIC,OK,815.sdf,sdfs/841.sdf
842,AKC_bcpt.12990,SYNTHETIC,OK,816.sdf,sdfs/842.sdf
843,AKC_j.biopha.2011.01.003,SYNTHETIC,OK,817.sdf,sdfs/843.sdf
844,AKC_j.bmcl.2019.126725,SYNTHETIC,Screening urgente,818.sdf,sdfs/844.sdf
845,AKC_acsmedchemlett.9b00453,SYNTHETIC,Screening urgente,819.sdf,sdfs/845.sdf
846,AKC_jhet.4414,SYNTHETIC,Screening urgente,820.sdf,sdfs/846.sdf
847,AKC_pathogens13030213,NATURAL,OK,821.sdf,sdfs/847.sdf
848,AKC_j.ejmech.2024.116256,SYNTHETIC,OK,822.sdf,sdfs/848.sdf
849,AKC,SYNTHETIC,Screening urgente,823-r.sdf,sdfs/849.sdf
850,AKC,SYNTHETIC,Screening urgente,823-s.sdf,sdfs/850.sdf
851,AKC_j.ijpddr.2024.100531,SYNTHETIC,OK,824.sdf,sdfs/851.sdf
852,AKC_j.molstruc.2024.138015,SYNTHETIC,OK,825-e.sdf,sdfs/852.sdf
853,AKC_j.molstruc.2024.138015,SYNTHETIC,OK,825-z.sdf,sdfs/853.sdf
854,AKC_j.bmc.2008.12.003,DRUG,,IVM.sdf,sdfs/854.sdf
855,AKC_OUB,NATURAL,,OUB.sdf,sdfs/855.sdf
