id,nome,categoria,observacoes,sdf_original,sdf_novo_path
534,AKC_jac/dkr480,SYNTHETIC,,517.sdf,sdfs/534.sdf
535,AKC_2012/203646,NATURAL,,518.sdf,sdfs/535.sdf
536,AKC_j.exppara.2012.08.016,NATURAL,,519.sdf,sdfs/536.sdf
537,AKC_157018012800389359,DRUG,,520.sdf,sdfs/537.sdf
538,AKC_s00436-011-2498-x,SYNTHETIC,,521.sdf,sdfs/538.sdf
539,AKC_AAC.00700-11,SYNTHETIC,,522.sdf,sdfs/539.sdf
540,AKC_j.bmc.2011.09.025,SYNTHETIC,Muito bom para screening,523.sdf,sdfs/540.sdf
541,AKC_j.jep.2011.07.008,NATURAL,,524.sdf,sdfs/541.sdf
542,AKC_ptr.3404,NATURAL,,525.sdf,sdfs/542.sdf
543,AKC_j.ejmech.2011.04.054,SYNTHETIC,,526.sdf,sdfs/543.sdf
544,AKC_j.bmcl.2011.05.076,SYNTHETIC,,527.sdf,sdfs/544.sdf
545,AKC_j.bmcl.2011.05.076,SYNTHETIC,,528.sdf,sdfs/545.sdf
546,AKC_j.1747-0285.2011.01092.x,SYNTHETIC,Muito bom para screening,529.sdf,sdfs/546.sdf
547,AKC_cpb.59.855,SYNTHETIC,,530.sdf,sdfs/547.sdf
548,AKC_s11030-019-09953-4,SYNTHETIC,,531.sdf,sdfs/548.sdf
549,AKC_j.ejmech.2011.03.053,SYNTHETIC,Fazer screening,532.sdf,sdfs/549.sdf
550,AKC_j.ijantimicag.2011.02.003,SYNTHETIC,,533.sdf,sdfs/550.sdf
551,AKC_molecules16053469,SYNTHETIC,,534.sdf,sdfs/551.sdf
552,AKC_j.bmc.2011.02.051,SYNTHETIC,,535.sdf,sdfs/552.sdf
553,AKC_journal.pntd.0000962,DRUG,,536.sdf,sdfs/553.sdf
554,AKC_journal.pntd.0000962,DRUG,,537.sdf,sdfs/554.sdf
555,AKC_AAC.00436-10,SYNTHETIC,Sem centro quiral,538.sdf,sdfs/555.sdf
556,AKC_j.actatropica.2010.10.011,SYNTHETIC,Muito bom para screening,539.sdf,sdfs/556.sdf
557,AKC_md9112369,NATURAL,,540.sdf,sdfs/557.sdf
558,AKC_0971-5916.91005,NATURAL,,541.sdf,sdfs/558.sdf
559,AKC_s00436-010-2073-x,SYNTHETIC,Interessante,542.sdf,sdfs/559.sdf
560,AKC_AAC.00985-10,DRUG,,543.sdf,sdfs/560.sdf
561,AKC_AAC.00327-10,SYNTHETIC,Fazer screening,544.sdf,sdfs/561.sdf
562,AKC_AAC.00327-10,SYNTHETIC,Fazer screening,545.sdf,sdfs/562.sdf
563,AKC_j.parint.2010.08.005,NATURAL,,546.sdf,sdfs/563.sdf
564,AKC_j.bmcl.2010.08.119,SYNTHETIC,Fazer screening,547.sdf,sdfs/564.sdf
565,AKC_j.bmcl.2010.07.078,SYNTHETIC,,548.sdf,sdfs/565.sdf
566,AKC_tsw.2010.176,SYNTHETIC,,549.sdf,sdfs/566.sdf
567,AKC_ptr.3052,SYNTHETIC,,550.sdf,sdfs/567.sdf
568,AKC_j.bmc.2010.05.018,SYNTHETIC,Interessante,551.sdf,sdfs/568.sdf
569,AKC_jac/dkq189,DRUG,,552.sdf,sdfs/569.sdf
570,AKC_jac/dkq189,DRUG,,552_2.sdf,sdfs/570.sdf
571,AKC_AAC.00250-10,SYNTHETIC,Muito bom para screening,553.sdf,sdfs/571.sdf
572,AKC_j.parint.2009.12.009,NATURAL,,554.sdf,sdfs/572.sdf
573,AKC_j.ejmech.2010.02.018,SYNTHETIC,Muito bom para screening,555.sdf,sdfs/573.sdf
574,AKC_j.ejmech.2010.02.015,SYNTHETIC,,556.sdf,sdfs/574.sdf
575,AKC_journal.pntd.0000675,SYNTHETIC,,557.sdf,sdfs/575.sdf
576,AKC_journal.pntd.0000675,SYNTHETIC,Muito bom para screening,558.sdf,sdfs/576.sdf
577,AKC_s00436-010-1826-x,DRUG,,559.sdf,sdfs/577.sdf
578,AKC_ja.2010.2,NATURAL,,560.sdf,sdfs/578.sdf
579,AKC_j.ejmech.2009.10.022,SYNTHETIC,,561.sdf,sdfs/579.sdf
580,AKC_j.ejmech.2009.11.035,NATURAL,,562.sdf,sdfs/580.sdf
581,AKC_j.bmc.2010.01.003,SYNTHETIC,Paia,563.sdf,sdfs/581.sdf
582,AKC_s00436-010-1973-0,NATURAL,,564.sdf,sdfs/582.sdf
583,AKC_j.ejmech.2010.04.004,SYNTHETIC,Muito bom para screening,565.sdf,sdfs/583.sdf
584,AKC_j.bmcl.2009.10.117,SYNTHETIC,,566.sdf,sdfs/584.sdf
585,AKC_14786419.2012.696254,SYNTHETIC,,567.sdf,sdfs/585.sdf
586,AKC_jm900564x,SYNTHETIC,Fazer screening,568.sdf,sdfs/586.sdf
587,AKC_ptr.2788,NATURAL,,569.sdf,sdfs/587.sdf
588,AKC_jmm.0.011155-0,SYNTHETIC,Paia,570.sdf,sdfs/588.sdf
589,AKC_s00284-009-9447-2,SYNTHETIC,Muito bom para screening,571.sdf,sdfs/589.sdf
590,AKC_j.bmcl.2009.03.020,SYNTHETIC,,572.sdf,sdfs/590.sdf
591,AKC_j.bmcl.2009.03.039,NATURAL,,573.sdf,sdfs/591.sdf
592,AKC_j.ejmech.2008.04.016,SYNTHETIC,,574.sdf,sdfs/592.sdf
593,AKC_j.bmc.2008.11.031,SYNTHETIC,,575.sdf,sdfs/593.sdf
594,AKC_j.exppara.2008.12.004,SYNTHETIC,Muito bom para screening,576.sdf,sdfs/594.sdf
595,AKC_znc-2009-7-807,NATURAL,,577.sdf,sdfs/595.sdf
596,AKC_znc-2009-7-807,NATURAL,,578.sdf,sdfs/596.sdf
597,AC_j.biopha.2008.08.024,NATURAL,,579.sdf,sdfs/597.sdf
598,AKC_j.biopha.2008.08.024,NATURAL,,579_2.sdf,sdfs/598.sdf
599,AKC_j.ejmech.2007.12.014,SYNTHETIC,,580.sdf,sdfs/599.sdf
600,AKC_AAC.00124-08,SYNTHETIC,Paia,581.sdf,sdfs/600.sdf
601,AKC_j.bmc.2008.08.024,SYNTHETIC,Muito bom para screening,582.sdf,sdfs/601.sdf
602,AKC_j.bmc.2008.07.077,SYNTHETIC,,583.sdf,sdfs/602.sdf
603,AKC_14756360701585619,SYNTHETIC,,585.sdf,sdfs/603.sdf
604,AKC_jac/dkn046,DRUG,,586.sdf,sdfs/604.sdf
605,AKC_j.bmc.2008.02.052,SYNTHETIC,,587.sdf,sdfs/605.sdf
606,AKC_j.bmc.2008.02.052,SYNTHETIC,,588.sdf,sdfs/606.sdf
607,AKC_ptr.2334,NATURAL,,589.sdf,sdfs/607.sdf
608,AKC_qua.21355,NATURAL,,590.sdf,sdfs/608.sdf
609,AKC_jm701166b,SYNTHETIC,,591.sdf,sdfs/609.sdf
610,AKC_jm7012166,SYNTHETIC,Fazer screening,592.sdf,sdfs/610.sdf
611,AKC_GE-1259.1,SYNTHETIC,Herbicida,593.sdf,sdfs/611.sdf
612,AKC_j.actatropica.2013.11.003,DRUG,,594.sdf,sdfs/612.sdf
613,AKC_j.fitote.2007.07.005,NATURAL,,595.sdf,sdfs/613.sdf
614,AKC_j.bmc.2007.09.007,SYNTHETIC,,596.sdf,sdfs/614.sdf
615,AKC_j.bmc.2007.08.016,SYNTHETIC,,597.sdf,sdfs/615.sdf
616,AKC_j.ejmech.2007.02.010,SYNTHETIC,,598.sdf,sdfs/616.sdf
617,AKC_j.ejmech.2007.02.010,SYNTHETIC,,599.sdf,sdfs/617.sdf
618,AKC_j.bmc.2007.06.042,SYNTHETIC,,600.sdf,sdfs/618.sdf
619,AKC_s00726-007-0537-9,SYNTHETIC,,601.sdf,sdfs/619.sdf
620,AKC_j.bmcl.2007.04.035,SYNTHETIC,,602.sdf,sdfs/620.sdf
621,AKC_j.jep.2007.03.025,NATURAL,,603.sdf,sdfs/621.sdf
622,AKC_157018007784620031,SYNTHETIC,,604.sdf,sdfs/622.sdf
623,AKC_j.bmcl.2006.11.004,SYNTHETIC,,605.sdf,sdfs/623.sdf
624,AKC_j.ejmech.2006.07.013,SYNTHETIC,,606.sdf,sdfs/624.sdf
625,AKC_AAC.00936-06,SYNTHETIC,,607.sdf,sdfs/625.sdf
626,AKC_s-2006-951726,NATURAL,,608.sdf,sdfs/626.sdf
627,AKC_s-2006-951726,NATURAL,,608_2.sdf,sdfs/627.sdf
628,AKC_GE-632R1.1,DRUG,,609.sdf,sdfs/628.sdf
629,AKC_j.ejmech.2006.03.033,SYNTHETIC,,610.sdf,sdfs/629.sdf
630,AKC_jm060156v,SYNTHETIC,,611.sdf,sdfs/630.sdf
631,AKC_LAJOP.2007.0004,SYNTHETIC,,612.sdf,sdfs/631.sdf
632,AKC_j.bmcl.2006.02.012,SYNTHETIC,,613.sdf,sdfs/632.sdf
633,AKC_j.bmc.2005.10.005,SYNTHETIC,,614.sdf,sdfs/633.sdf
634,AKC_np0502600,NATURAL,,615.sdf,sdfs/634.sdf
635,AKC_np0502600,NATURAL,,616.sdf,sdfs/635.sdf
636,AKC_j.bmc.2005.07.043,SYNTHETIC,,617.sdf,sdfs/636.sdf
637,AKC_j.bmc.2005.07.043,SYNTHETIC,,617_2.sdf,sdfs/637.sdf
638,AKC_GE-3489.1,DRUG,,618.sdf,sdfs/638.sdf
639,AKC_j.bmc.2005.07.005,SYNTHETIC,,619.sdf,sdfs/639.sdf
640,AKC_j.bmc.2005.06.045,SYNTHETIC,,620.sdf,sdfs/640.sdf
641,AKC_j.bmc.2005.04.041,SYNTHETIC,,621.sdf,sdfs/641.sdf
642,AKC_AAC.49.5.1679-1687.2005,SYNTHETIC,,622.sdf,sdfs/642.sdf
643,AKC_AAC.49.3.1076-1080.2005,SYNTHETIC,,623.sdf,sdfs/643.sdf
644,AKC_AAC.49.2.808-812.2005,DRUG,,624.sdf,sdfs/644.sdf
645,AKC_j.ijantimicag.2004.08.010,NATURAL,,625.sdf,sdfs/645.sdf
646,AKC_j.bioorg.2005.07.001,SYNTHETIC,Interessante,626.sdf,sdfs/646.sdf
647,AKC_AAC.49.11.176-182.2005,NATURAL,,627.sdf,sdfs/647.sdf
648,AKC_j.bmc.2004.03.054,SYNTHETIC,Muito bom para screening,628.sdf,sdfs/648.sdf
649,AKC,NATURAL,,629.sdf,sdfs/649.sdf
650,AKC_0944-7113-00381,NATURAL,,630.sdf,sdfs/650.sdf
